category_tid,category_name,narrative_complexity,information_density,voice_importance,structure_requirement,replaceability,sdi_score,dependency_level,script_growth_potential,reasoning
36,知识,5,5,4,5,5,4.75,高依赖,高,知识科普需要严密的逻辑结构、准确的信息传递和清晰的表达，高度依赖脚本规划
181,影视,5,4,5,4,4,4.5,高依赖,高,影视解说需要完整的剧情梳理、观点阐述和节奏把控
188,科技,4,5,4,4,4,4.25,高依赖,高,科技评测需要专业知识点的准确传达，测试流程的规范化展示
119,鬼畜,4,2,2,5,4,3.25,中等依赖,中等,鬼畜创作需要精密的剪辑规划和创意设计，但信息传递相对简单
3,音乐,2,3,3,4,3,3.0,中等依赖,中等,音乐创作需要一定的结构规划，但更多依赖创意和技能
211,美食,3,3,3,3,2,3.0,中等依赖,中等,美食制作需要步骤说明，但实操性强，可适当即兴调整
155,时尚,2,3,3,3,2,2.75,中等依赖,中等,时尚内容需要搭配思路说明，但可以有较多即兴发挥
5,娱乐,3,2,4,2,2,2.75,中等依赖,中等,娱乐内容重口播表现力，但内容结构相对简单
4,游戏,2,2,3,2,1,2.25,低依赖,低,游戏实况更多依赖实时反应和游戏技能，脚本依赖度较低
160,生活,2,2,2,2,1,2.0,低依赖,低,生活记录类内容更注重真实性和日常性，脚本规划较少
217,动物圈,1,2,2,1,1,1.5,低依赖,低,萌宠内容主要展示动物本身，解说和规划相对简单
129,舞蹈,1,1,1,3,1,1.5,低依赖,低,舞蹈表演主要依赖技能展示，脚本需求最低
